,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
63,M1953332515,condo,1145000,1.0,1.0,1,Santa Barbara,401 Chapala St Apt 107,93101,CA,Santa Barbara,1066.0
64,M2094745121,condo,1049000,0.0,2.0,2,Santa Barbara,105 W De La Guerra St Unit K,93101,CA,Santa Barbara,1664.0
65,M1811080616,condo,1495000,0.0,2.0,3,Santa Barbara,3718 State St Unit 214,93105,CA,Santa Barbara,1985.0
66,M1816005040,condo,895000,1.0,1.0,1,Santa Barbara,18 W Victoria St Apt 107,93101,CA,Santa Barbara,700.0
67,M1170152448,condo,559000,0.0,2.0,2,Santa Barbara,955 Cieneguitas Rd Apt A,93110,CA,Santa Barbara,1724.0
68,M2183597796,condo,1395000,0.0,3.0,3,Santa Barbara,651 Verde Mar Dr Unit C,93103,CA,Santa Barbara,1250.0
69,M1648087180,condo,1449900,0.0,2.0,3,Santa Barbara,671 Del Parque Dr Unit C,93103,CA,Santa Barbara,1540.0
70,M2624392694,condo,605000,0.0,1.0,1,Santa Barbara,432 Por La Mar Cir,93103,CA,Santa Barbara,1686.0
71,M1060937342,condo,2250000,0.0,2.0,2,Santa Barbara,39 Seaview Dr,93108,CA,Santa Barbara,1310.0
72,M1990748502,condo,636000,0.0,2.0,2,Santa Barbara,2525 State St Apt 11,93105,CA,Santa Barbara,2422.0
73,M2078885605,condo,2150000,1.0,2.0,2,Santa Barbara,1375 Plaza De Sonadores,93108,CA,Santa Barbara,1694.0
74,M1066601766,condo,3600000,1.0,2.0,2,Santa Barbara,1385 Plaza Pacifica,93108,CA,Santa Barbara,2543.0
75,M2911526781,condo,595000,0.0,2.0,2,Santa Barbara,2638 State St Apt 20,93105,CA,Santa Barbara,1880.0
0,M2856718331,condo,299000,0.0,2.0,2,Fresno,6300 N Palm Ave Unit 143,93704,CA,Fresno,1736.0
1,M1408850561,condo,59900,0.0,1.0,2,Fresno,4948 N Holt Ave Apt 103,93705,CA,Fresno,843.0
2,M2540488560,condo,145000,0.0,1.0,1,Fresno,7166 N Fruit Ave Apt 188,93711,CA,Fresno,884.0
3,M1036150871,condo,187000,1.0,2.0,3,Fresno,4727 Alamos Ave Unit 106A,93726,CA,Fresno,1649.0
4,M1030262852,condo,98500,0.0,1.0,2,Fresno,1550 W Ashlan Ave Apt 235,93705,CA,Fresno,864.0
5,M2332125660,condo,289000,0.0,2.0,3,Fresno,8735 N Cedar Ave Unit 138,93720,CA,Fresno,1415.0
6,M2344907878,condo,200000,0.0,2.0,2,Fresno,8147 N Cedar Ave Apt 215,93720,CA,Fresno,1141.0
7,M1409659040,condo,164000,0.0,1.0,2,Fresno,1216 Cobb Ave,93706,CA,Fresno,944.0
8,M1901420417,condo,129000,1.0,1.0,2,Fresno,5188 E Ashlan Ave Apt 123,93727,CA,Fresno,1207.0
9,M1159876799,condo,209000,0.0,2.0,3,Fresno,5455 N Marty Ave Apt 191,93711,CA,Fresno,1427.0
10,M2302424703,condo,219000,0.0,2.0,3,Fresno,8147 N Cedar Ave Apt 103,93720,CA,Fresno,1370.0
11,M2217483878,condo,169999,1.0,2.0,3,Fresno,4757 N Woodrow Ave Unit 115,93726,CA,Fresno,1360.0
12,M2775217715,condo,285000,0.0,2.0,2,Fresno,1726 W Calimyrna Ave Unit 5B,93711,CA,Fresno,1510.0
13,M1847927892,condo,105750,0.0,1.0,1,Fresno,2909 Huntington Blvd Apt 241,93721,CA,Fresno,696.0
14,M1214356608,condo,69000,0.0,1.0,1,Fresno,1190 S Winery Ave Unit 158,93727,CA,Fresno,509.0
15,M1839609331,condo,69000,0.0,1.0,1,Fresno,1190 S Winery Ave Unit 255,93727,CA,Fresno,802.0
16,M1214580204,condo,69000,0.0,1.0,1,Fresno,1190 S Winery Ave Unit 288,93727,CA,Fresno,509.0
17,M1213089566,condo,69000,0.0,1.0,1,Fresno,1151 S Chestnut Ave Unit 278,93702,CA,Fresno,661.0
18,M1837000715,condo,69000,0.0,1.0,1,Fresno,1151 S Chestnut Ave Unit 212,93702,CA,Fresno,690.0
19,M1837224310,condo,69000,0.0,1.0,1,Fresno,4860 E Lane Ave Unit 113,93727,CA,Fresno,690.0
20,M1193375883,condo,81500,0.0,1.0,2,Fresno,1715 W Clinton Ave Apt 104,93705,CA,Fresno,888.0
21,M1193860340,condo,75000,0.0,1.0,1,Fresno,1715 W Clinton Ave Apt 127,93705,CA,Fresno,720.0
22,M2163933089,condo,82000,1.0,1.0,2,Fresno,4136 N Thesta St Apt 11,93726,CA,Fresno,1056.0
23,M1258147090,condo,250000,0.0,2.0,2,Fresno,539 W Scott Ave,93704,CA,Fresno,1622.0
24,M1441260559,condo,184000,0.0,3.0,3,Fresno,2890 Huntington Blvd Apt 143,93721,CA,Fresno,1623.0
25,M2297170205,condo,205000,0.0,2.0,2,Fresno,8153 N Cedar Ave Apt 203,93720,CA,Fresno,1141.0
26,M1867147122,condo,179900,1.0,2.0,3,Fresno,4747 N Woodrow Ave Unit 137,93726,CA,Fresno,1374.0
27,M1856041871,condo,154900,0.0,2.0,3,Fresno,4875 N Backer Ave Unit 138,93726,CA,Fresno,1273.0
28,M1883469605,condo,135000,1.0,1.0,2,Fresno,4875 N Backer Ave Unit 107,93726,CA,Fresno,1080.0
29,M2317703740,condo,205000,0.0,2.0,2,Fresno,8153 N Cedar Ave Apt 210,93720,CA,Fresno,1111.0
30,M1468464697,condo,224950,0.0,3.0,2,Fresno,2890 Huntington Blvd Apt 167,93721,CA,Fresno,1623.0
31,M1337691624,condo,499000,0.0,3.0,3,Fresno,1596 E Green Sage Ave,93730,CA,Fresno,1819.0
32,M1034846563,condo,129987,1.0,2.0,2,Fresno,4919 N Millbrook Ave Apt 129,93726,CA,Fresno,1275.0
33,M1020201048,condo,289000,0.0,2.0,2,Fresno,5740 N West Ave Apt 101,93711,CA,Fresno,1732.0
34,M1011853477,condo,150000,0.0,1.0,2,Fresno,76 W Sierra Ave Apt 102,93704,CA,Fresno,951.0
35,M2098978551,condo,85000,0.0,2.0,2,Fresno,1027 W Dakota Ave Apt 107,93705,CA,Fresno,1046.0
36,M1153541589,condo,209000,0.0,2.0,3,Fresno,5455 N Marty Ave Apt 188,93711,CA,Fresno,1427.0
37,M1619093637,condo,235000,0.0,2.0,3,Fresno,1010 S Clovis Ave Apt 109,93727,CA,Fresno,1611.0
38,M2148199307,condo,117999,0.0,1.0,2,Fresno,1250 E Shaw Ave Apt 225,93710,CA,Fresno,1096.0
39,M9577579867,condo,145000,0.0,2.0,2,Fresno,3739 W Bullard Ave Apt 117,93711,CA,Fresno,1017.0
40,M1504214108,condo,84998,0.0,1.0,2,Fresno,1550 W Ashlan Ave Apt 138,93705,CA,Fresno,864.0
41,M1272606275,condo,179000,0.0,2.0,2,Fresno,5180 N Wishon Ave Apt 205,93704,CA,Fresno,1342.0
42,M1112660850,condo,239998,0.0,2.0,2,Fresno,5060 N Forkner Ave,93711,CA,Fresno,1453.0
43,M1973945869,condo,89900,0.0,2.0,2,Fresno,1151 S Chestnut Ave Unit 238,93702,CA,Fresno,1013.0
44,M2898887081,condo,101251,0.0,1.0,1,Fresno,2909 Huntington Blvd Apt 136,93721,CA,Fresno,696.0
45,M1020499175,condo,225000,0.0,2.0,3,Fresno,309 W Bullard Ave Apt 102,93704,CA,Fresno,1587.0
46,M1602696622,condo,95900,0.0,2.0,2,Fresno,1151 S Chestnut Ave Unit 239,93702,CA,Fresno,1013.0
47,M1160473054,condo,349999,0.0,2.0,3,Fresno,5505 N El Adobe Dr,93711,CA,Fresno,2481.0
